Name,Value,Wage
Lionel Messi,€95500K,€565K
C. Ronaldo dos Santos Aveiro,€58500K,€405K
Neymar da Silva Santos Jr.,€105500K,€290K
Jan Oblak,€77500K,€125K
Kevin De Bruyne,€90000K,€370K
Eden Hazard,€90000K,€470K
Mohamed Salah,€80500K,€240K
Virgil van Dijk,€78000K,€200K
Marc-André ter Stegen,€67500K,€250K
Luka Modrić,€45000K,€340K
Kylian Mbappé,€93500K,€155K
N'Golo Kanté,€66000K,€235K
Alisson Ramses Becker,€58000K,€155K
Harry Kane,€83000K,€220K
Kalidou Koulibaly,€67500K,€150K
Antoine Griezmann,€69000K,€370K
David De Gea Quintana,€56000K,€205K
Sergio Busquets Burgos,€55000K,€300K
Robert Lewandowski,€64500K,€235K
Luis Suárez,€53000K,€355K
Sergio Ramos García,€31500K,€300K
Sergio Agüero,€60000K,€300K
Giorgio Chiellini,€24500K,€215K
Paulo Dybala,€76500K,€215K
Ederson Santana de Moraes,€54500K,€185K
Sadio Mané,€62000K,€220K
Raheem Sterling,€73000K,€255K
Paul Pogba,€72500K,€250K
Thibaut Courtois,€48000K,€235K
Christian Eriksen,€68000K,€205K
Pierre-Emerick Aubameyang,€57000K,€205K
Marco Reus,€56000K,€170K
Toni Kroos,€57000K,€330K
Diego Godín,€28000K,€135K
Edinson Cavani,€47000K,€195K
David Josué Jiménez Silva,€36000K,€265K
Hugo Lloris,€36000K,€150K
Manuel Neuer,€32000K,€155K
Samir Handanovič,€26000K,€110K
Gerard Piqué Bernabeu,€38000K,€285K
Bernardo Mota Carvalho e Silva,€64000K,€210K
Aymeric Laporte,€56500K,€195K
Carlos Henrique Venancio Casimiro,€53500K,€240K
Heung Min Son,€60000K,€185K
Lorenzo Insigne,€52000K,€140K
Keylor Navas,€30500K,€110K
Thiago Alcântara,€50000K,€180K
Jordi Alba Ramos,€40000K,€240K
Toby Alderweireld,€41000K,€155K
Mats Hummels,€41000K,€130K
Dries Mertens,€40000K,€135K
Jan Vertonghen,€32500K,€155K
Karim Benzema,€45000K,€285K
Thiago Emiliano da Silva,€18500K,€135K
Fernando Luiz Rosa,€19500K,€200K
Milan Škriniar,€52000K,€89K
Leroy Sané,€61000K,€195K
Joshua Kimmich,€48000K,€125K
Marcos Aoás Corrêa,€51500K,€120K
Samuel Umtiti,€50000K,€210K
Roberto Firmino Barbosa de Oliveira,€47500K,€170K
Marco Verratti,€54500K,€140K
Francisco Román Alarcón Suárez,€51000K,€245K
Alexandre Lacazette,€46000K,€165K
Ciro Immobile,€44500K,€105K
Thomas Müller,€43500K,€170K
Daniel Parejo Muñoz,€41000K,€69K
Philippe Coutinho Correia,€46500K,€175K
Wojciech Szczęsny,€37500K,€135K
Leonardo Bonucci,€28500K,€160K
Ángel Di María,€39000K,€150K
Miralem Pjanić,€42500K,€180K
Ivan Rakitić,€38000K,€245K
Matthijs de Ligt,€50000K,€76K
Rodrigo Hernández Cascante,€47000K,€150K
Gianluigi Donnarumma,€41500K,€34K
Frenkie de Jong,€52000K,€195K
Sergej Milinković-Savić,€50500K,€73K
Clément Lenglet,€45000K,€175K
José María Giménez,€45000K,€69K
Andrew Robertson,€43500K,€125K
Bruno Miguel Borges Fernandes,€49000K,€24K
Niklas Süle,€46500K,€115K
Fábio Henrique Tavares,€45000K,€125K
Hakim Ziyech,€45000K,€39K
Saúl Ñíguez Esclápez,€49500K,€77K
Daniel Carvajal Ramos,€38000K,€205K
Raphaël Varane,€45000K,€205K
Mauro Icardi,€46000K,€140K
Allan Marques Loureiro,€38000K,€110K
Anthony Lopes,€33500K,€88K
James Rodríguez,€40500K,€225K
David Alaba,€38000K,€135K
Norberto Murara Neto,€31000K,€175K
Jorge Resurrección,€40500K,€88K
Kostas Manolas,€37500K,€105K
Iago Aspas Juncal,€34500K,€49K
Romelu Lukaku,€46000K,€115K
Alex Sandro Lobo Silva,€33000K,€155K
Roman Bürki,€32000K,€92K
Péter Gulácsi,€31000K,€69K
Axel Witsel,€31500K,€110K
Marcelo Vieira da Silva,€28000K,€205K
Gareth Bale,€37500K,€250K
Blaise Matuidi,€25000K,€145K
Gonzalo Higuaín,€34500K,€175K
Alejandro Gómez,€34000K,€92K
Zlatan Ibrahimović,€14000K,€15K
Jiří Pavlenka,€26000K,€37K
Kai Havertz,€46000K,€70K
Jadon Sancho,€44500K,€61K
Ousmane Dembélé,€42500K,€195K
Arthur Henrique Ramos Oliveira Melo,€41000K,€180K
Lucas Hernández,€37500K,€110K
Nabil Fekir,€39000K,€40K
Kingsley Coman,€40500K,€120K
Alex Nicolao Telles,€33000K,€23K
Julian Brandt,€40500K,€94K
Dele Alli,€41500K,€115K
João Pedro Cavaco Cancelo,€36500K,€150K
Leon Goretzka,€40000K,€120K
Felipe Augusto de Almeida Monteiro,€25000K,€74K
Kepa Arrizabalaga,€31000K,€92K
Serge Gnabry,€39500K,€120K
Riyad Mahrez,€31500K,€195K
Memphis Depay,€40500K,€110K
Felipe Anderson Pereira Gomes,€36500K,€125K
Josip Iličić,€28000K,€92K
Dušan Tadić,€29500K,€36K
Luis Alberto Romero Alconchel,€36500K,€78K
Stefan de Vrij,€31500K,€88K
Luis Miguel Afonso Fernandes,€30500K,€26K
Bernd Leno,€26000K,€91K
Douglas Costa de Souza,€31500K,€155K
Sergio Canales Madrazo,€31500K,€44K
Kyle Walker,€25500K,€165K
José Paulo Bezerra M. Júnior,€29000K,€43K
İlkay Gündoğan,€31000K,€180K
José María Callejón Bueno,€24000K,€96K
César Azpilicueta Tanco,€25500K,€145K
Jérôme Boateng,€25000K,€125K
Arturo Vidal,€23500K,€205K
Mario Mandžukić,€19500K,€160K
Ivan Perišić,€29500K,€135K
Georginio Wijnaldum,€31000K,€140K
Edin Džeko,€19500K,€75K
Yann Sommer,€21000K,€37K
Javier Martínez Aginaga,€25500K,€125K
Mesut Özil,€29500K,€125K
Lucas Pezzini Leiva,€20500K,€71K
Sokratis Papastathopoulos,€23000K,€115K
Marek Hamšík,€26500K,€26K
Salvatore Sirigu,€19000K,€54K
Stéphane Ruffier,€19000K,€41K
João Filipe Moutinho,€23500K,€125K
Képler Laveran Lima Ferreira,€6500K,€16K
Luka Jović,€36500K,€155K
Marcus Rashford,€35500K,€125K
Trent Alexander-Arnold,€32000K,€78K
Ronaldo Jailson Cabrais Petri,€27000K,€51K
Josué Durval Chiamulera Vaz,€23500K,€43K
Lourival Adnan Beretta Barbosa,€27500K,€60K
Manuel Akanji,€31000K,€77K
Fabián Ruiz Peña,€36000K,€76K
Giovani Lo Celso,€35000K,€105K
Nicolas Pépé,€34500K,€97K
Gonçalo Manuel Ganchinho Guedes,€34500K,€46K
Borja Iglesias Quintas,€32500K,€41K
Pau López Sabata,€26000K,€38K
Marco Asensio Willemsen,€34000K,€180K
Davinson Sánchez,€30500K,€93K
Corentin Tolisso,€34000K,€110K
Dakonam Djené,€27000K,€35K
Andrej Kramarić,€27000K,€61K
Thomas Lemar,€34000K,€64K
Jonathan Tah,€31000K,€67K
Anderson Souza Conceição,€34500K,€38K
Federico Bernardeschi,€31500K,€130K
Timo Werner,€34500K,€70K
Anthony Martial,€34500K,€140K
Alessio Romagnoli,€32000K,€46K
Alejandro Grimaldo García,€29500K,€18K
Adrien Rabiot,€33000K,€120K
Yannick Carrasco,€31000K,€23K
William Silva de Carvalho,€27500K,€35K
Sébastien Haller,€32000K,€120K
Edin Višća,€25500K,€61K
Luiz Frello Filho Jorge,€29000K,€140K
Arkadiusz Milik,€35000K,€91K
Florian Thauvin,€30500K,€60K
Jordan Pickford,€24000K,€78K
John Stones,€30000K,€140K
Julian Draxler,€32500K,€100K
